id,outlet,headline,url,body,published_at,scraped_at,lean,emotion,clickbait,entity_json
da564336a951c88d74a2c9a7acd0ca31,The Hindu,Supreme Court requests Central Government response on new environment guidelines,https://www.thehindu.com/sci-tech/energy-and-environment/supreme-court-requests-central-government-response-on-new-environment-guidelines/article99218210.ece,"The Supreme Court on Monday requested a response from the Central Government regarding the implementation of the new environment guidelines. The bench, led by the Chief Justice, was hearing petitions challenging the regulatory framework. Critics argue the new rules dilute protection measures, while the government maintains they streamline operations and reduce bureaucratic delays. The Court has scheduled the next hearing for three weeks from now.",2026-05-24T12:00:00Z,2026-05-25T12:26:30.718392,center-left,0.15,12.5,"{""Opposition"": -0.1, ""BJP"": 0.0}"
3535394445c7c8ec724ad58d5d48da85,Scroll,Opposition slams government as SC issues notice on environment guidelines,https://scroll.in/article/109281/opposition-slams-government-as-sc-issues-notice-on-environment-guidelines,The Opposition parties on Tuesday launched a scathing attack on the Central Government after the Supreme Court issued a notice regarding the controversial new environment guidelines. Spokespersons for the Congress argued that the government is catering to corporate interests at the cost of public health and ecological safety. They demanded immediate suspension of the guidelines pending a thorough judicial audit.,2026-05-24T13:15:00Z,2026-05-25T12:26:30.718392,left,0.72,48.0,"{""Congress"": 0.6, ""Opposition"": 0.7, ""BJP"": -0.85, ""Modi"": -0.8}"
32ded468db7b1a912a46e24dc162c9b8,Indian Express,SC issues notice to Centre on new environmental norms,https://indianexpress.com/article/india/sc-issues-notice-to-centre-on-new-environmental-norms-998231/,"The Supreme Court has issued a notice to the Centre on petitions contesting the newly notified environmental norms. Petitions filed by environmental groups claim the changes will lead to deforestation and destruction of ecologically sensitive areas. The Central Government defended the guidelines, stating they incorporate modern mitigation tech and strengthen enforcement mechanisms. The court has given the government four weeks to reply.",2026-05-24T11:45:00Z,2026-05-25T12:26:30.718392,center,0.18,8.5,"{""BJP"": 0.1, ""Opposition"": -0.1}"
6bdc81600483928a0226f54b8d4f4e8c,The Print,Activists welcome SC notice to Centre on environmental regulations,https://theprint.in/india/governance/activists-welcome-sc-notice-to-centre-on-environmental-regulations/2091811/,"Environmental activists and civil society organizations have welcomed the Supreme Court decision to issue a notice to the Centre on environmental regulations. Activists stated that the judicial intervention provides a crucial check on unchecked industrial expansion. The BJP spokesperson countered that the rules balance sustainable growth with economic expansion, asserting that the party remains committed to conservation.",2026-05-24T14:30:00Z,2026-05-25T12:26:30.718392,center,0.35,22.0,"{""BJP"": -0.2, ""Modi"": -0.1}"
06267e3ffc476358c5801f9ad6dc77cd,OpIndia,Historic digital transformation as Modi government launches rural tech drive,https://www.opindia.com/2026/05/historic-digital-transformation-as-modi-government-launches-rural-tech-drive/,"In a landmark decision, Prime Minister Narendra Modi launched a massive digital infrastructure drive for rural India. The BJP hailed the initiative as a historic turning point that will empower millions of rural citizens. The digital transformation program is set to provide high-speed connectivity to over 250,000 villages, bridging the technology gap and boosting local economies. Supporters call it a visionary move.",2026-05-23T08:00:00Z,2026-05-25T12:26:30.718392,right,0.68,55.0,"{""Modi"": 0.9, ""BJP"": 0.8, ""Opposition"": -0.7}"
511623a9bb8ea3236507c76fb3abd5de,OpIndia,PM Modi launches massive tech infrastructure initiative for rural India,https://www.opindia.com/2026/05/pm-modi-launches-massive-tech-infrastructure-initiative-for-rural-india/,"Prime Minister Modi has unveiled a monumental rural tech infrastructure initiative, aiming to provide high-speed internet and e-governance to every village. The BJP leadership praised Modi for his unwavering dedication to rural upliftment, pointing out that previous Congress-led administrations ignored digital access for villages. Citizens across rural districts expressed immense joy and gratitude.",2026-05-23T09:10:00Z,2026-05-25T12:26:30.718392,right,0.82,68.0,"{""Modi"": 0.95, ""BJP"": 0.9, ""Congress"": -0.85, ""Opposition"": -0.8}"
3e59745448a17035c83ffd4994dd6a1c,The Wire,Concerns grow over digital divide as government pushes rural digital program,https://thewire.in/government/concerns-grow-over-digital-divide-as-government-pushes-rural-digital-program,"As the Central Government pushes its ambitious rural digital program, tech policy experts and opposition leaders are raising concerns over a widening digital divide. The Wire's analysis reveals that most rural schools lack power supply, making digital access a distant dream. Congress leaders accused the government of running a public relations campaign instead of addressing core infrastructure failures.",2026-05-23T10:30:00Z,2026-05-25T12:26:30.718392,left,0.55,35.0,"{""Modi"": -0.75, ""BJP"": -0.7, ""Congress"": 0.5, ""Opposition"": 0.6}"
30c95bda652b365d0f9f398347352d3c,Newslaundry,"New rural tech initiative fails to address digital divide, critics say",https://www.newslaundry.com/2026/05/23/new-rural-tech-initiative-fails-to-address-digital-divide-critics-say,"Critics and independent analysts have cast doubt on the newly announced rural tech initiative, saying it fails to address structural barriers in connectivity. A detailed study shows that internet penetration remains low in tribal areas, and local leaders say the government's plans are detached from ground reality. The BJP administration has denied these claims, asserting that the rollouts are on track.",2026-05-23T11:45:00Z,2026-05-25T12:26:30.718392,left,0.48,42.0,"{""BJP"": -0.6, ""Opposition"": 0.4}"
a4b4bd67f6b49eca17aee2d6c477fb3c,Swarajya,Union Budget 2026 wins praise for pro-growth reforms amidst economic headwinds,https://swarajyamag.com/economy/union-budget-2026-wins-praise-for-pro-growth-reforms-amidst-economic-headwinds,The recently presented Union Budget 2026 has won widespread acclaim from industry captains and financial analysts for its bold pro-growth reforms. Swarajya editors note that the budget successfully tackles inflation while offering strong incentives for local manufacturing under the Modi government's Make in India initiative. Supporters call it a masterclass in macroeconomic management.,2026-05-22T06:30:00Z,2026-05-25T12:26:30.718392,right,0.7,50.0,"{""Modi"": 0.85, ""BJP"": 0.8, ""Opposition"": -0.5}"
45ae9c478847791c12cf0674737fbc0e,The Print,Budget 2026: A balanced approach to growth amid global inflation concerns,https://theprint.in/economy/budget-2026-a-balanced-approach-to-growth-amid-global-inflation-concerns/208810/,"Finance Minister presented Budget 2026 with a balanced blueprint to drive growth while keeping a firm lid on inflation. Industry associations welcomed the capital expenditure increase, though some economists caution that tax relief for the middle class is marginal. Congress and other opposition parties slammed the budget as a document of high promises with little allocation for agriculture.",2026-05-22T07:15:00Z,2026-05-25T12:26:30.718392,center,0.28,15.0,"{""Opposition"": -0.2, ""Congress"": -0.2, ""BJP"": 0.2, ""Modi"": 0.1}"
